"Versão","Menu do CRM","Subcategoria API","Título Exato da Requisição","Descrição da Requisição","HTTP Request","Custo"
"V2","Processo","Resumo de Processo (IA)","Solicitar geração/atualização de Resumo IA","Registra solicitação para a IA ler e resumir os autos do processo.","POST api/v2/processos/numero_cnj/{numero}/ia/resumo/solicitar-atualizacao","R$ 0,08"
"V2","Processo","Atualização de Processos","Solicitar atualização de um processo","Puxa as informações mais recentes do processo no site do tribunal.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 3,00"
"V2","Processo","Atualização de Processos","Atualização baixando alguns documentos","Atualiza e exige credencial para baixar peças específicas sob sigilo/restritas.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 0,75"
"V2","Processo","Atualização de Processos","Atualização baixando autos inteiros","Atualiza e exige credencial do advogado para fazer download físico de todos os autos.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 1,50"
"V2","Processo","Atualização de Processos","Atualização baixando documentos públicos","Atualiza a capa e baixa os documentos sem sigilo disponíveis publicamente.","POST api/v2/processos/numero_cnj/{numero}/solicitar-atualizacao","R$ 0,20"
"V2","Advogado(a)","Consulta de Processos","Processos de um advogado por OAB","Retorna a listagem de processos atrelados ao registro da OAB.","GET api/v2/advogado/processos","R$ 3,00 (+ R$3 a cada 200)"
"V2","Pessoa / Empresa","Consulta de Processos","Processos do envolvido por CPF/CNPJ ou Nome","Retorna a listagem de processos de uma parte (pessoa física ou empresa).","GET api/v2/envolvido/processos","R$ 3,00 (+ R$3 a cada 200)"
"V2","Advogado(a)","Consulta de Processos","Resumo de processos por OAB","Relatório gerencial mostrando quantidade de processos e tipo da OAB.","GET api/v2/advogado/resumo","R$ 3,00"
"V2","Pessoa / Empresa","Consulta de Processos","Resumo de Processos do Envolvido","Relatório gerencial mostrando o volume processual do CPF/CNPJ/Nome.","GET api/v2/envolvido/resumo","R$ 3,00"
"V2","Processo","Consulta de Processos","Autos do processo (públicos e restritos)","Retorna a lista de documentos dos autos após a atualização via robô.","GET api/v2/processos/numero_cnj/{numero}/autos","R$ 0,18"
"V2","Processo","Consulta de Processos","Processo por numeração CNJ (Capa)","Retorna dados completos da capa do processo no Escavador.","GET api/v2/processos/numero_cnj/{numero}","R$ 3,00"
"V2","Processo","Consulta de Processos","Documentos públicos de um processo","Acessa as peças públicas salvas no Escavador vinculadas ao CNJ.","GET api/v2/processos/numero_cnj/{numero}/documentos-publicos","R$ 0,06"
"V2","Processo","Consulta de Processos","Envolvidos de um processo","Lista polo passivo, ativo e representantes (advogados).","GET api/v2/processos/numero_cnj/{numero}/envolvidos","R$ 0,05"
"V2","Processo","Consulta de Processos","Movimentações de um processo","Retorna a timeline de andamentos do processo CNJ.","GET api/v2/processos/numero_cnj/{numero}/movimentacoes","R$ 3,00"
"V2","Processo","Resumo de Processo (IA)","Resumo Inteligente de um processo","Retorna o texto do resumo gerado pela IA (se já existir no cache).","GET api/v2/processos/numero_cnj/{numero}/ia/resumo","R$ 0,05"
"V2","Processo","Monitoramento","Criar novo monitoramento de Processo","Passa a vigiar um processo CNJ nos diários e tribunais com recorrência.","POST api/v2/monitoramentos/processos","R$ 3,00 / mês"
"V2","Outro","Monitoramento","Criar novo monitoramento de Termos/Nomes","Vigia a aparição de qualquer termo livre, CPF, CNPJ ou Nome em novas autuações.","POST api/v2/monitoramentos/novos-processos","R$ 3,00 / mês"
